 
****************************************
Report : area
Design : Baseline_4KB
Version: O-2018.06-SP5-5
Date   : Tue Feb  3 05:06:24 2026
****************************************

Library(s) Used:

    tcbn22ullbwp30p140tt0p9v25c (File: /home21/longyang/common/share/tsmc22/tcbn22ullbwp30p140_110b/tcbn22ullbwp30p140_110b/AN61001_20201222/TSMCHOME/digital/Front_End/timing_power_noise/NLDM/tcbn22ullbwp30p140_110b/tcbn22ullbwp30p140tt0p9v25c.db)

Number of ports:                       732677
Number of nets:                       5300530
Number of cells:                      4620723
Number of combinational cells:        3799702
Number of sequential cells:            804365
Number of macros/black boxes:               0
Number of buf/inv:                     379754
Number of references:                    3237

Combinational area:            2464309.603857
Buf/Inv area:                   101492.748947
Noncombinational area:         1573477.267209
Macro/Black Box area:                0.000000
Net Interconnect area:      undefined  (Wire load has zero net area)

Total cell area:               4037786.871065
Total area:                 undefined

Hierarchical area distribution
------------------------------

                                  Global cell area                Local cell area
                                  ---------------------  ---------------------------------- 
Hierarchical cell                 Absolute      Percent  Combi-        Noncombi-     Black-
                                  Total         Total    national      national      boxes   Design
CFU_102_ctrl_3/min_least_102_inst1    1732.7520     0.0     1732.7520        0.0000  0.0000  min_least_102_18
CFU_102_ctrl_4                       1779.6240      0.0       10.8360       24.9480  0.0000  CFU_102_ctrl_17
CFU_102_ctrl_4/add_257                 11.0880      0.0       11.0880        0.0000  0.0000  CFU_102_ctrl_17_DW01_inc_0
CFU_102_ctrl_4/min_least_102_inst1    1732.7520     0.0     1732.7520        0.0000  0.0000  min_least_102_17
CFU_102_ctrl_5                       1779.6240      0.0       10.8360       24.9480  0.0000  CFU_102_ctrl_16
CFU_102_ctrl_5/add_257                 11.0880      0.0       11.0880        0.0000  0.0000  CFU_102_ctrl_16_DW01_inc_0
CFU_102_ctrl_5/min_least_102_inst1    1732.7520     0.0     1732.7520        0.0000  0.0000  min_least_102_16
CFU_102_ctrl_6                       1779.6240      0.0       10.8360       24.9480  0.0000  CFU_102_ctrl_15
CFU_102_ctrl_6/add_257                 11.0880      0.0       11.0880        0.0000  0.0000  CFU_102_ctrl_15_DW01_inc_0
CFU_102_ctrl_6/min_least_102_inst1    1732.7520     0.0     1732.7520        0.0000  0.0000  min_least_102_15
CFU_102_ctrl_7                       1779.6240      0.0       10.8360       24.9480  0.0000  CFU_102_ctrl_14
CFU_102_ctrl_7/add_257                 11.0880      0.0       11.0880        0.0000  0.0000  CFU_102_ctrl_14_DW01_inc_0
CFU_102_ctrl_7/min_least_102_inst1    1732.7520     0.0     1732.7520        0.0000  0.0000  min_least_102_14
CFU_102_ctrl_8                       1779.6240      0.0       10.8360       24.9480  0.0000  CFU_102_ctrl_13
CFU_102_ctrl_8/add_257                 11.0880      0.0       11.0880        0.0000  0.0000  CFU_102_ctrl_13_DW01_inc_0
CFU_102_ctrl_8/min_least_102_inst1    1732.7520     0.0     1732.7520        0.0000  0.0000  min_least_102_13
CFU_102_ctrl_9                       1779.6240      0.0       10.8360       24.9480  0.0000  CFU_102_ctrl_12
CFU_102_ctrl_9/add_257                 11.0880      0.0       11.0880        0.0000  0.0000  CFU_102_ctrl_12_DW01_inc_0
CFU_102_ctrl_9/min_least_102_inst1    1732.7520     0.0     1732.7520        0.0000  0.0000  min_least_102_12
VFU_4_ctrl_1                          612.1080      0.0      126.8820      319.7880  0.0000  VFU_4_ctrl_522
VFU_4_ctrl_1/add_45                    14.3640      0.0       14.3640        0.0000  0.0000  VFU_4_ctrl_522_DW01_inc_0
VFU_4_ctrl_1/vn4_inst                 151.0740      0.0      151.0740        0.0000  0.0000  vn4_522
VFU_4_ctrl_10                         612.1080      0.0      126.8820      319.7880  0.0000  VFU_4_ctrl_513
VFU_4_ctrl_10/add_45                   14.3640      0.0       14.3640        0.0000  0.0000  VFU_4_ctrl_513_DW01_inc_0
VFU_4_ctrl_10/vn4_inst                151.0740      0.0      151.0740        0.0000  0.0000  vn4_513
VFU_4_ctrl_100                        612.1080      0.0      126.8820      319.7880  0.0000  VFU_4_ctrl_423
VFU_4_ctrl_100/add_45                  14.3640      0.0       14.3640        0.0000  0.0000  VFU_4_ctrl_423_DW01_inc_0
VFU_4_ctrl_100/vn4_inst               151.0740      0.0      151.0740        0.0000  0.0000  vn4_423
VFU_4_ctrl_101                        612.1080      0.0      126.8820      319.7880  0.0000  VFU_4_ctrl_422
